City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Lavrentiya,RU,65.5833,-171.0,40.6,94,100,7.27,overcast clouds
170,Mama,RU,58.3106,112.8986,69.13,45,100,9.13,overcast clouds
171,Arlit,NE,18.7369,7.3853,95.11,34,9,10.63,clear sky
172,Wanning,CN,18.8003,110.3967,86.7,76,100,6.98,moderate rain
173,Elko,US,41.0002,-115.5012,64.81,84,93,1.03,overcast clouds
174,Irbid,JO,32.5,35.8333,93.76,24,0,14.72,clear sky
175,Livingston,GB,55.9029,-3.5226,61.68,69,75,5.75,broken clouds
176,Paramonga,PE,-10.6667,-77.8333,62.74,87,96,6.87,overcast clouds
177,Kinsale,IE,51.7075,-8.5306,58.37,62,75,11.5,broken clouds
178,Berdigestyakh,RU,62.0989,126.6992,79.59,42,76,2.13,broken clouds
179,Yellowknife,CA,62.456,-114.3525,69.33,72,20,1.01,few clouds
180,Touros,BR,-5.1989,-35.4608,74.3,81,35,14.61,scattered clouds
181,Ponta Do Sol,PT,32.6667,-17.1,77.72,67,8,4.05,clear sky
182,Jaisalmer,IN,26.9147,70.9181,97.18,41,98,19.82,overcast clouds
183,Tibati,CM,6.4667,12.6333,68.86,96,100,3.78,overcast clouds
184,Saint George,US,37.1041,-113.5841,78.64,59,1,5.01,clear sky
185,Lebu,CL,-37.6167,-73.65,45.61,73,8,12.86,clear sky
186,Souillac,MU,-20.5167,57.5167,75.58,60,20,18.41,few clouds
187,Ukiah,US,39.1502,-123.2078,69.01,62,1,5.75,clear sky
188,Alofi,NU,-19.0595,-169.9187,73.29,100,61,5.75,light rain
189,Banjar,ID,-8.19,114.9675,78.66,77,56,7.34,broken clouds
190,Omboue,GA,-1.5746,9.2618,76.73,75,88,6.73,overcast clouds
191,Upernavik,GL,72.7868,-56.1549,43.9,77,100,5.41,overcast clouds
192,Prainha,BR,-1.8,-53.48,72.1,95,100,2.37,overcast clouds
193,Maceio,BR,-9.6658,-35.7353,76.44,78,40,13.8,scattered clouds
194,Jalu,LY,29.0331,21.5482,102.07,9,0,7.67,clear sky
195,Klaksvik,FO,62.2266,-6.589,49.12,78,98,12.97,overcast clouds
196,Coquimbo,CL,-29.9533,-71.3436,44.33,93,3,4.61,clear sky
197,Tiksi,RU,71.6872,128.8694,48.7,71,1,4.72,clear sky
198,Lata,PT,40.1629,-8.3327,70.36,47,62,4.76,broken clouds
199,Thompson,CA,55.7435,-97.8558,48.36,93,20,0.0,few clouds
200,Bereda,ES,43.2686,-7.5406,65.14,67,96,3.04,overcast clouds
201,Bambous Virieux,MU,-20.3428,57.7575,75.45,60,20,18.41,few clouds
202,Severo-Kurilsk,RU,50.6789,156.125,50.72,83,69,18.01,broken clouds
203,Banda Aceh,ID,5.5577,95.3222,84.4,64,85,18.37,overcast clouds
204,Bure,ET,10.7,37.0667,64.98,86,100,4.38,moderate rain
205,Faanui,PF,-16.4833,-151.75,77.27,66,90,14.47,overcast clouds
206,Coahuayana,MX,18.7333,-103.6833,76.32,91,92,3.83,overcast clouds
207,Mehamn,NO,71.0357,27.8492,45.68,95,100,10.6,light rain
208,Chermen,RU,43.1486,44.7069,87.04,42,4,4.47,clear sky
209,San Juan Evangelista,MX,17.9,-95.1333,72.36,95,34,5.26,scattered clouds
210,Pilar,BR,-9.5972,-35.9567,75.13,89,75,12.37,broken clouds
211,Katsuura,JP,35.1333,140.3,86.11,84,8,7.34,clear sky
212,Upata,VE,8.0086,-62.3989,72.19,99,20,2.91,few clouds
213,Dauphin,CA,51.1494,-100.0502,50.14,100,1,8.05,clear sky
214,Lagoa,PT,39.05,-27.9833,71.06,90,20,13.94,few clouds
215,Inta,RU,66.0317,60.1659,61.7,84,85,17.76,overcast clouds
216,Port Hardy,CA,50.6996,-127.4199,55.58,100,90,2.3,overcast clouds
217,Sinop,TR,41.7711,34.8709,82.51,36,0,11.18,clear sky
218,Gallup,US,35.5281,-108.7426,63.36,74,40,0.0,scattered clouds
219,Leca Da Palmeira,PT,41.191,-8.7003,70.86,57,75,4.61,broken clouds
220,Ekhabi,RU,53.5102,142.9671,53.64,80,98,8.52,overcast clouds
221,Kendal,GB,54.3268,-2.7476,63.91,80,84,4.0,broken clouds
222,Tilichiki,RU,60.4667,166.1,48.58,63,89,3.87,overcast clouds
223,Jaru,BR,-10.4389,-62.4664,63.55,58,27,3.22,scattered clouds
224,Turukhansk,RU,65.8167,87.9833,58.01,88,100,6.78,overcast clouds
225,Nanortalik,GL,60.1432,-45.2371,50.0,80,100,19.28,light rain
226,Hasaki,JP,35.7333,140.8333,82.69,86,6,8.46,clear sky
227,Gorontalo,ID,0.5412,123.0595,79.38,87,69,3.53,broken clouds
228,Poya,NC,-21.35,165.15,64.78,65,38,7.45,scattered clouds
229,Obo,CF,5.3998,26.4869,76.35,78,96,3.94,overcast clouds
230,Tazovskiy,RU,67.4667,78.7,61.77,49,100,7.61,overcast clouds
231,Karratha,AU,-20.7377,116.8463,69.57,42,6,12.84,clear sky
232,Neepawa,CA,50.2289,-99.4664,50.81,58,0,5.01,clear sky
233,Antofagasta,CL,-23.65,-70.4,54.68,78,36,3.85,scattered clouds
234,Torbay,CA,47.6666,-52.7314,63.57,84,20,14.97,few clouds
235,Talnakh,RU,69.4865,88.3972,52.59,94,100,9.55,light rain
236,Laguna,US,38.421,-121.4238,79.3,67,1,4.0,clear sky
237,Castro,BR,-24.7911,-50.0119,44.51,90,100,5.32,overcast clouds
238,Surab,PK,28.4914,66.2585,88.27,11,9,14.54,clear sky
239,Fortuna,US,40.5982,-124.1573,60.42,94,90,1.01,overcast clouds
240,Brigantine,US,39.4101,-74.3646,70.02,93,100,4.85,overcast clouds
241,Qaanaaq,GL,77.484,-69.3632,40.12,92,90,4.05,overcast clouds
242,Tartagal,AR,-22.5164,-63.8013,49.06,49,6,4.34,clear sky
243,Yar-Sale,RU,66.8333,70.8333,62.98,60,100,10.8,overcast clouds
244,San Jose,US,37.3394,-121.895,64.0,84,20,1.01,few clouds
245,Belaya Gora,RU,68.5333,146.4167,50.95,53,96,6.46,overcast clouds
246,Nemuro,JP,43.3236,145.575,65.48,99,100,12.57,overcast clouds
247,Geraldton,AU,-28.7667,114.6,59.41,63,90,13.8,overcast clouds
248,Kuala Terengganu,MY,5.3302,103.1408,84.15,84,40,3.44,scattered clouds
249,Novo Aripuana,BR,-5.1206,-60.3797,67.84,57,75,2.55,broken clouds
250,Kahului,US,20.8947,-156.47,75.22,74,1,23.02,clear sky
251,Villanueva De La Serena,ES,38.9766,-5.7974,72.82,30,30,6.55,scattered clouds
252,Rovaniemi,FI,66.5,25.7167,62.01,88,75,10.36,light intensity shower rain
253,Porto Seguro,BR,-16.4497,-39.0647,63.12,94,75,8.05,broken clouds
254,Mareeba,AU,-17.0,145.4333,66.43,90,52,4.88,broken clouds
255,Magomeni,TZ,-6.8,39.25,86.49,40,12,15.93,few clouds
256,Lensk,RU,60.7253,114.9278,79.79,30,85,10.0,overcast clouds
257,Qrendi,MT,35.8347,14.4583,96.46,34,0,6.91,clear sky
258,Goderich,CA,43.7501,-81.7165,64.9,94,76,5.75,broken clouds
259,Meulaboh,ID,4.1363,96.1285,79.32,84,100,1.99,overcast clouds
260,Port-Gentil,GA,-0.7193,8.7815,76.69,76,38,7.85,scattered clouds
261,Yuksekova,TR,37.5736,44.2872,80.35,32,75,3.44,broken clouds
262,Singaraja,ID,-8.112,115.0882,81.1,73,51,6.4,broken clouds
263,Delmas,HT,18.5447,-72.3028,81.32,78,20,12.66,few clouds
264,Falam,MM,22.9167,93.6833,66.09,99,100,2.39,light rain
265,Gupitan,PH,7.7758,125.6406,79.74,88,92,3.06,overcast clouds
266,Kavaratti,IN,10.5669,72.642,82.71,75,87,15.75,overcast clouds
267,Waren,DE,53.5167,12.6833,68.02,68,80,9.51,broken clouds
268,Kalmunai,LK,7.4167,81.8167,87.53,63,99,14.43,overcast clouds
269,Knysna,ZA,-34.0363,23.0471,55.78,61,16,9.51,few clouds
270,Santiago De Cao,PE,-7.9589,-79.2392,63.39,86,73,7.2,broken clouds
271,Diffa,NE,13.3154,12.6113,89.65,48,100,12.41,overcast clouds
272,Hede,CN,33.7681,120.2517,82.26,85,8,6.67,clear sky
273,Mantua,IT,45.1667,10.7833,84.97,65,63,8.99,broken clouds
274,Saskylakh,RU,71.9167,114.0833,83.3,27,66,8.55,broken clouds
275,Yurimaguas,PE,-5.9,-76.0833,68.74,74,100,1.05,overcast clouds
276,Mount Isa,AU,-20.7333,139.5,74.97,35,75,0.0,light rain
277,Evensk,RU,61.95,159.2333,51.26,77,100,4.63,overcast clouds
278,San Juan,AR,-31.5375,-68.5364,44.06,49,12,0.69,few clouds
279,Nome,US,64.5011,-165.4064,48.27,87,90,5.75,overcast clouds
280,Tabuk,PH,17.4189,121.4443,83.95,75,100,5.23,overcast clouds
281,Leningradskiy,RU,69.3833,178.4167,34.75,96,99,14.43,overcast clouds
282,Hamilton,US,39.1834,-84.5333,60.78,94,1,1.01,mist
283,Igrim,RU,63.1906,64.4162,68.09,74,100,6.49,overcast clouds
284,Kindu,CD,-2.95,25.95,96.04,21,23,2.3,few clouds
285,Koumac,NC,-20.5667,164.2833,65.59,64,16,12.33,few clouds
286,Okhotsk,RU,59.3833,143.3,64.81,68,0,6.89,clear sky
287,Port Elizabeth,ZA,-33.918,25.5701,68.09,72,20,21.85,few clouds
288,Chuy,UY,-33.6971,-53.4616,44.87,94,0,2.84,clear sky
289,Hofn,IS,64.2539,-15.2082,51.82,87,90,3.44,overcast clouds
290,Maddela,PH,16.3414,121.6849,84.52,68,99,4.94,overcast clouds
291,Avera,US,33.194,-82.5271,80.71,78,55,6.44,broken clouds
292,Tambopata,PE,-12.7333,-69.1833,58.86,67,7,1.86,clear sky
293,Faro,PT,37.0194,-7.9322,74.98,35,0,5.75,clear sky
294,Mayo,US,38.8876,-76.5119,72.37,94,90,3.44,light rain
295,Ryotsu,JP,38.0833,138.4333,80.56,84,17,3.69,few clouds
296,Tucupita,VE,9.0622,-62.051,71.96,99,56,2.8,broken clouds
297,Pangnirtung,CA,66.1451,-65.7125,49.55,71,39,3.29,scattered clouds
298,Olafsvik,IS,64.8945,-23.7142,52.93,96,100,4.36,overcast clouds
299,Charters Towers,AU,-20.1,146.2667,67.69,77,40,9.46,scattered clouds
300,Eureka,US,40.8021,-124.1637,60.67,93,72,4.9,broken clouds
301,Ambon,ID,-3.6954,128.1814,80.47,82,99,10.83,overcast clouds
302,Saldanha,ZA,-33.0117,17.9442,60.04,82,40,8.34,scattered clouds
303,Provideniya,RU,64.3833,-173.3,44.13,79,100,4.81,overcast clouds
304,Kemnay,GB,57.2357,-2.444,55.42,83,75,13.0,broken clouds
305,Harper,LR,4.375,-7.7169,78.69,75,98,11.12,overcast clouds
306,Patea,NZ,-39.7583,174.4833,43.66,84,100,3.13,overcast clouds
307,Sao Filipe,CV,14.8961,-24.4956,75.58,80,53,10.74,broken clouds
308,Itambacuri,BR,-18.0311,-41.685,60.67,85,100,3.18,overcast clouds
309,Havre-Saint-Pierre,CA,50.2334,-63.5986,53.96,94,40,3.44,scattered clouds
310,West Odessa,US,31.8424,-102.4988,81.88,53,20,8.05,few clouds
311,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,10.36,scattered clouds
312,Kurilsk,RU,45.2333,147.8833,59.2,94,95,8.97,overcast clouds
313,Yumen,CN,40.2833,97.2,88.05,18,53,19.55,broken clouds
314,Nikolskoye,RU,59.7035,30.7861,69.69,89,89,7.43,overcast clouds
315,Arkhangelskoye,RU,55.8549,35.3287,60.84,97,100,7.29,overcast clouds
316,Tafresh,IR,34.692,50.013,86.72,16,28,13.82,scattered clouds
317,Sorland,NO,67.667,12.6934,48.27,72,69,11.34,broken clouds
318,Mecca,SA,21.4267,39.8261,99.21,36,5,18.25,clear sky
319,San Clemente,US,33.427,-117.612,73.85,92,3,1.99,clear sky
320,Adre,TD,13.4667,22.2,83.07,53,88,2.44,overcast clouds
321,Nouadhibou,MR,20.931,-17.0347,75.18,73,33,6.91,scattered clouds
322,Naryan-Mar,RU,67.6713,53.087,55.06,80,100,8.7,overcast clouds
323,Nortelandia,BR,-14.4547,-56.8028,60.26,44,2,1.66,clear sky
324,Ballina,AU,-28.8667,153.5667,71.78,79,0,11.12,clear sky
325,Boditi,ET,6.9667,37.8667,62.67,72,100,10.16,overcast clouds
326,Chapais,CA,49.7834,-74.8492,44.38,92,92,5.66,overcast clouds
327,Victor Harbor,AU,-35.5667,138.6167,52.92,84,5,9.08,clear sky
328,Fengrun,CN,39.8333,118.1167,78.91,81,25,6.35,scattered clouds
329,Yulara,AU,-25.2406,130.9889,64.24,39,0,4.61,clear sky
330,Mumford,GH,5.2618,-0.759,79.5,75,97,9.37,overcast clouds
331,Sabalgarh,IN,26.25,77.4,90.73,61,85,6.4,overcast clouds
332,Gizo,SB,-8.103,156.8419,81.03,79,92,14.72,light rain
333,Walvis Bay,NA,-22.9575,14.5053,84.07,19,0,21.7,clear sky
334,Taua,BR,-5.9667,-40.3,71.96,68,61,16.46,broken clouds
335,Lompoc,US,34.6391,-120.4579,60.48,96,90,3.44,mist
336,Camacupa,AO,-12.0167,17.4833,75.15,20,1,7.43,clear sky
337,Concarneau,FR,47.875,-3.9225,65.19,73,60,10.65,broken clouds
338,Korla,CN,41.7597,86.1469,88.92,17,43,10.94,scattered clouds
339,Tanete,ID,-3.9443,119.7848,77.0,92,95,3.98,overcast clouds
340,Asau,RO,46.4333,26.4,88.39,48,0,1.88,clear sky
341,Bilibino,RU,68.0546,166.4372,38.53,65,95,8.61,overcast clouds
342,Neiafu,TO,-18.65,-173.9833,76.75,76,83,25.1,broken clouds
343,Saint Anthony,US,45.0205,-93.218,64.92,73,40,5.01,smoke
344,Pyaozerskiy,RU,65.8333,31.1667,68.61,52,58,7.52,broken clouds
345,Oga,IT,46.4631,10.347,60.64,88,100,3.67,overcast clouds
346,Bolshaya Glushitsa,RU,50.2406,43.5908,94.84,26,4,2.91,clear sky
347,San Policarpo,PH,12.1791,125.5072,86.59,67,99,10.0,overcast clouds
