City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
500,Icod De Los Vinos,ES,76.75,few clouds,28.3724,-16.7119,Hotel Rural El Patio
502,Gudari,IN,89.51,overcast clouds,19.35,83.7833,Hotel maa majhigouri
506,Acarau,BR,76.46,overcast clouds,-2.8856,-40.12,castelo pizzaria
509,Huatulco,MX,76.87,clear sky,15.8436,-96.3267,Fonatur Operadora Portuaría
510,Zilupe,LV,78.87,scattered clouds,56.3862,28.1217,Zilupe kojas
514,Severnyy,RU,89.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
516,Schertz,US,79.81,clear sky,29.5522,-98.2697,Super 8 by Wyndham Universal City
517,Kourou,GF,76.1,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
519,Pandan,PH,85.14,overcast clouds,14.0453,124.1694,Bonifacio Lodge
520,Bac Lieu,VN,85.95,moderate rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
521,Timizart,DZ,84.61,broken clouds,36.8,4.2667,yefssah restaurant
523,Martil,MA,80.56,clear sky,35.6166,-5.2752,فندق مرتيل
525,Alice,US,82.31,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
526,Amuntai,ID,80.91,overcast clouds,-2.4177,115.2494,Hotel Balqis
528,Khabary,RU,85.57,scattered clouds,53.6259,79.5345,ИП Аксёнова С.В.
529,Manokwari,ID,81.28,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
532,Cockburn Town,TC,82.18,clear sky,21.4612,-71.1419,Osprey Beach Hotel
533,Peleduy,RU,75.81,broken clouds,59.6289,112.7406,Гостиница «Уют»
538,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
544,Pemangkat,ID,84.67,heavy intensity rain,1.1667,108.9667,Ramah Kost KITA
546,Jertih,MY,76.87,overcast clouds,5.7336,102.4897,One Utama Hotel
550,Xiaoweizhai,CN,82.76,few clouds,26.1903,107.5125,Karst Youth Hostel
551,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
552,Alghero,IT,78.89,few clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
556,Sarab,IR,87.06,clear sky,38.6066,44.9883,مسجد امام رضا
557,Mbandaka,CD,87.73,light rain,0.0487,18.2603,Guest House Epervier
559,Kulhudhuffushi,MV,82.67,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
560,Bhinga,IN,89.31,broken clouds,27.7167,81.9333,Kakardari office
562,Kalabo,ZM,77.99,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
564,San Ignacio,BZ,75.34,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
568,Beppu,JP,84.49,overcast clouds,33.2736,131.4919,Seikaiso
570,Alappuzha,IN,82.08,overcast clouds,9.49,76.3264,Panoramic Sea Resort
573,Belyy Yar,RU,76.89,clear sky,53.6039,91.3903,Pasportnyy Stol
574,Havelock,US,80.94,broken clouds,34.8791,-76.9013,Sherwood Motel
585,Cozumel,MX,77.11,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
588,Kijang,KR,89.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
598,Anloga,GH,79.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
601,Tateyama,JP,86.02,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
602,Praxedis Guerrero,MX,79.56,broken clouds,31.3667,-106.0167,Iglesia Bautista Dios con Nosotros
604,Juru,MY,80.55,scattered clouds,5.312,100.4423,Luscious Hotel
605,Kiunga,PG,75.52,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
607,Mae Sai,TH,87.12,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
613,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
615,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
619,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
620,Vinh,VN,83.59,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
624,Sola,VU,76.42,broken clouds,-13.8833,167.55,Leumerus Bungalows
629,Vicar,ES,79.57,broken clouds,36.8316,-2.6427,Hotel Envía Almería Spa & Golf
631,Am Timan,TD,84.45,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
632,Tongren,CN,87.55,broken clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
635,Abha,SA,78.62,few clouds,18.2164,42.5053,Abha Hotel
638,Zaysan,KZ,82.6,broken clouds,47.4667,84.8667,Ерлан үй
640,Along,IN,83.46,scattered clouds,28.1667,94.7667,Hotel West
647,Sai Buri,TH,83.91,light rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
649,Kokopo,PG,75.65,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
654,Acapulco,MX,75.56,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
656,Vilyuysk,RU,82.33,clear sky,63.7553,121.6247,Gostinitsa Viliuisk
658,Huilong,CN,84.97,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
664,Arco,IT,83.86,heavy intensity rain,45.9177,10.8867,Hotel Campagnola
665,Watsa,CD,81.79,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
669,Limbang,MY,87.06,moderate rain,4.75,115.0,Purnama Hotel
